sample_id,label,defect_type,category,n_sensor_rows,duration_s,n_images,const_sensor_cols,issues
09-30-22-0066-00,0,good,good_weld_10_09-29-22_butt,332,36.8,5,[],[]
09-30-22-0067-00,0,good,good_weld_10_09-29-22_butt,336,36.82,5,[],[]
09-30-22-0068-00,0,good,good_weld_10_09-29-22_butt,331,36.69,5,[],[]
09-30-22-0069-00,0,good,good_weld_10_09-29-22_butt,332,36.8,5,[],[]
09-30-22-0072-00,0,good,good_weld_10_09-29-22_butt,330,36.75,5,[],[]
09-30-22-0074-00,0,good,good_weld_10_09-29-22_butt,332,36.9,5,[],[]
09-30-22-0075-00,0,good,good_weld_10_09-29-22_butt,333,36.84,5,[],[]
09-30-22-0076-00,0,good,good_weld_10_09-29-22_butt,331,36.8,5,[],[]
09-30-22-0077-00,0,good,good_weld_10_09-29-22_butt,333,36.86,5,[],[]
09-30-22-0078-00,0,good,good_weld_10_09-29-22_butt,328,36.66,5,[],[]
09-30-22-0079-00,0,good,good_weld_10_09-29-22_butt,332,36.9,5,[],[]
09-30-22-0080-00,0,good,good_weld_10_09-29-22_butt,332,36.89,5,[],[]
10-20-22-0081-00,0,good,good_weld_11_10-20-22_Plane_Plate,331,36.65,5,[],[]
10-20-22-0082-00,0,good,good_weld_11_10-20-22_Plane_Plate,333,36.69,5,[],[]
10-20-22-0083-00,0,good,good_weld_11_10-20-22_Plane_Plate,330,36.54,5,[],[]
10-20-22-0084-00,0,good,good_weld_11_10-20-22_Plane_Plate,337,37.26,5,[],[]
10-20-22-0085-00,0,good,good_weld_11_10-20-22_Plane_Plate,330,36.45,5,[],[]
10-20-22-0086-00,0,good,good_weld_11_10-20-22_Plane_Plate,330,36.65,5,[],[]
10-20-22-0087-00,0,good,good_weld_11_10-20-22_Plane_Plate,331,36.65,5,[],[]
10-20-22-0088-00,0,good,good_weld_11_10-20-22_Plane_Plate,330,36.68,5,[],[]
10-20-22-0089-00,0,good,good_weld_11_10-20-22_Plane_Plate,331,36.63,5,[],[]
10-20-22-0090-00,0,good,good_weld_11_10-20-22_Plane_Plate,331,36.63,5,[],[]
10-20-22-0091-00,0,good,good_weld_11_10-20-22_Plane_Plate,328,36.54,5,[],[]
10-20-22-0092-00,0,good,good_weld_11_10-20-22_Plane_Plate,331,36.55,5,[],[]
10-20-22-0093-00,0,good,good_weld_11_10-20-22_Plane_Plate,330,36.54,5,[],[]
10-20-22-0094-00,0,good,good_weld_11_10-20-22_Plane_Plate,330,36.69,5,[],[]
10-20-22-0095-00,0,good,good_weld_11_10-20-22_Plane_Plate,332,36.66,5,[],[]
10-20-22-0096-00,0,good,good_weld_11_10-20-22_Plane_Plate,330,36.66,5,[],[]
10-20-22-0097-00,0,good,good_weld_11_10-20-22_Plane_Plate,333,36.71,5,[],[]
10-20-22-0098-00,0,good,good_weld_11_10-20-22_Plane_Plate,330,36.69,5,[],[]
10-20-22-0099-00,0,good,good_weld_11_10-20-22_Plane_Plate,330,36.68,5,[],[]
10-20-22-0100-00,0,good,good_weld_11_10-20-22_Plane_Plate,332,36.75,5,[],[]
10-20-22-0101-00,0,good,good_weld_12_10-20-22_Plane_Plate,331,36.92,5,[],[]
10-20-22-0102-00,0,good,good_weld_12_10-20-22_Plane_Plate,331,36.64,5,[],[]
10-20-22-0103-00,0,good,good_weld_12_10-20-22_Plane_Plate,329,36.54,5,[],[]
10-20-22-0104-00,0,good,good_weld_12_10-20-22_Plane_Plate,332,36.67,5,[],[]
10-20-22-0105-00,0,good,good_weld_12_10-20-22_Plane_Plate,332,36.68,5,[],[]
10-20-22-0106-00,0,good,good_weld_12_10-20-22_Plane_Plate,333,36.73,5,[],[]
10-20-22-0107-00,0,good,good_weld_12_10-20-22_Plane_Plate,331,36.68,5,[],[]
10-20-22-0108-00,0,good,good_weld_12_10-20-22_Plane_Plate,331,36.72,5,[],[]
10-20-22-0109-00,0,good,good_weld_12_10-20-22_Plane_Plate,331,36.6,5,[],[]
10-20-22-0110-00,0,good,good_weld_12_10-20-22_Plane_Plate,332,36.61,5,[],[]
10-20-22-0111-00,0,good,good_weld_12_10-20-22_Plane_Plate,332,36.64,5,[],[]
10-20-22-0112-00,0,good,good_weld_12_10-20-22_Plane_Plate,332,36.77,5,[],[]
10-20-22-0113-00,0,good,good_weld_12_10-20-22_Plane_Plate,331,36.62,5,[],[]
10-20-22-0114-00,0,good,good_weld_12_10-20-22_Plane_Plate,333,36.63,5,[],[]
10-20-22-0115-00,0,good,good_weld_12_10-20-22_Plane_Plate,331,36.61,5,[],[]
10-20-22-0116-00,0,good,good_weld_12_10-20-22_Plane_Plate,330,36.6,5,[],[]
10-20-22-0117-00,0,good,good_weld_12_10-20-22_Plane_Plate,331,36.69,5,[],[]
10-20-22-0118-00,0,good,good_weld_12_10-20-22_Plane_Plate,332,36.71,5,[],[]
10-20-22-0119-00,0,good,good_weld_12_10-20-22_Plane_Plate,331,36.59,5,[],[]
10-20-22-0120-00,0,good,good_weld_12_10-20-22_Plane_Plate,332,36.65,5,[],[]
10-20-22-0121-00,0,good,good_weld_13_10-20-22_Plane_Plate,332,36.52,5,[],[]
10-20-22-0122-00,0,good,good_weld_13_10-20-22_Plane_Plate,331,36.68,5,[],[]
10-20-22-0123-00,0,good,good_weld_13_10-20-22_Plane_Plate,331,36.61,5,[],[]
10-20-22-0124-00,0,good,good_weld_13_10-20-22_Plane_Plate,334,36.87,5,[],[]
10-20-22-0125-00,0,good,good_weld_13_10-20-22_Plane_Plate,330,36.48,5,[],[]
10-20-22-0126-00,0,good,good_weld_13_10-20-22_Plane_Plate,331,36.78,5,[],[]
10-20-22-0127-00,0,good,good_weld_13_10-20-22_Plane_Plate,330,36.55,5,[],[]
10-20-22-0128-00,0,good,good_weld_13_10-20-22_Plane_Plate,331,36.64,5,[],[]
10-20-22-0129-00,0,good,good_weld_13_10-20-22_Plane_Plate,331,36.72,5,[],[]
10-20-22-0130-00,0,good,good_weld_13_10-20-22_Plane_Plate,332,36.67,5,[],[]
10-20-22-0131-00,0,good,good_weld_13_10-20-22_Plane_Plate,331,36.64,5,[],[]
10-20-22-0132-00,0,good,good_weld_13_10-20-22_Plane_Plate,331,36.6,5,[],[]
10-20-22-0133-00,0,good,good_weld_13_10-20-22_Plane_Plate,332,36.6,5,[],[]
10-20-22-0134-00,0,good,good_weld_13_10-20-22_Plane_Plate,333,36.76,5,[],[]
10-20-22-0135-00,0,good,good_weld_13_10-20-22_Plane_Plate,332,36.65,5,[],[]
10-20-22-0136-00,0,good,good_weld_13_10-20-22_Plane_Plate,333,36.76,5,[],[]
10-20-22-0137-00,0,good,good_weld_13_10-20-22_Plane_Plate,332,36.67,5,[],[]
10-20-22-0138-00,0,good,good_weld_13_10-20-22_Plane_Plate,331,36.6,5,[],[]
10-20-22-0139-00,0,good,good_weld_13_10-20-22_Plane_Plate,331,36.67,5,[],[]
10-20-22-0140-00,0,good,good_weld_13_10-20-22_Plane_Plate,332,36.61,5,[],[]
10-21-22-0141-00,0,good,good_weld_14_10-21-22_Plane_Plate,327,36.49,5,[],[]
10-21-22-0142-00,0,good,good_weld_14_10-21-22_Plane_Plate,328,36.47,5,[],[]
10-21-22-0143-00,0,good,good_weld_14_10-21-22_Plane_Plate,327,36.53,5,[],[]
10-21-22-0144-00,0,good,good_weld_14_10-21-22_Plane_Plate,336,37.06,5,[],[]
10-21-22-0145-00,0,good,good_weld_14_10-21-22_Plane_Plate,332,36.63,5,[],[]
10-21-22-0146-00,0,good,good_weld_14_10-21-22_Plane_Plate,331,36.81,5,[],[]
10-21-22-0147-00,0,good,good_weld_14_10-21-22_Plane_Plate,330,36.51,5,[],[]
10-21-22-0148-00,0,good,good_weld_14_10-21-22_Plane_Plate,330,36.51,5,[],[]
10-21-22-0149-00,0,good,good_weld_14_10-21-22_Plane_Plate,331,36.65,5,[],[]
10-21-22-0150-00,0,good,good_weld_14_10-21-22_Plane_Plate,330,36.59,5,[],[]
10-21-22-0151-00,0,good,good_weld_14_10-21-22_Plane_Plate,329,36.52,5,[],[]
10-21-22-0152-00,0,good,good_weld_14_10-21-22_Plane_Plate,331,36.64,5,[],[]
10-21-22-0153-00,0,good,good_weld_14_10-21-22_Plane_Plate,331,36.65,5,[],[]
10-21-22-0154-00,0,good,good_weld_14_10-21-22_Plane_Plate,333,36.75,5,[],[]
10-21-22-0155-00,0,good,good_weld_14_10-21-22_Plane_Plate,331,36.62,5,[],[]
10-21-22-0156-00,0,good,good_weld_14_10-21-22_Plane_Plate,331,36.75,5,[],[]
10-21-22-0157-00,0,good,good_weld_14_10-21-22_Plane_Plate,332,36.59,5,[],[]
10-21-22-0158-00,0,good,good_weld_14_10-21-22_Plane_Plate,332,36.63,5,[],[]
10-21-22-0159-00,0,good,good_weld_14_10-21-22_Plane_Plate,332,36.66,5,[],[]
10-21-22-0160-00,0,good,good_weld_14_10-21-22_Plane_Plate,331,36.59,5,[],[]
10-21-22-0161-00,0,good,good_weld_15_10-21-22_Plane_Plate,330,36.6,5,[],[]
10-21-22-0162-00,0,good,good_weld_15_10-21-22_Plane_Plate,331,36.66,5,[],[]
10-21-22-0163-00,0,good,good_weld_15_10-21-22_Plane_Plate,330,36.7,5,[],[]
10-21-22-0164-00,0,good,good_weld_15_10-21-22_Plane_Plate,330,36.59,5,[],[]
10-21-22-0165-00,0,good,good_weld_15_10-21-22_Plane_Plate,330,36.62,5,[],[]
10-21-22-0166-00,0,good,good_weld_15_10-21-22_Plane_Plate,333,36.72,5,[],[]
10-21-22-0167-00,0,good,good_weld_15_10-21-22_Plane_Plate,330,36.51,5,[],[]
10-21-22-0168-00,0,good,good_weld_15_10-21-22_Plane_Plate,329,36.64,5,[],[]
10-21-22-0169-00,0,good,good_weld_15_10-21-22_Plane_Plate,329,36.61,5,[],[]
10-21-22-0170-00,0,good,good_weld_15_10-21-22_Plane_Plate,330,36.71,5,[],[]
10-21-22-0171-00,0,good,good_weld_15_10-21-22_Plane_Plate,331,36.62,5,[],[]
10-21-22-0172-00,0,good,good_weld_15_10-21-22_Plane_Plate,331,36.69,5,[],[]
10-21-22-0173-00,0,good,good_weld_15_10-21-22_Plane_Plate,331,36.59,5,[],[]
10-21-22-0174-00,0,good,good_weld_15_10-21-22_Plane_Plate,329,36.6,5,[],[]
10-21-22-0175-00,0,good,good_weld_15_10-21-22_Plane_Plate,329,36.63,5,[],[]
10-21-22-0176-00,0,good,good_weld_15_10-21-22_Plane_Plate,331,36.67,5,[],[]
10-21-22-0177-00,0,good,good_weld_15_10-21-22_Plane_Plate,332,36.69,5,[],[]
10-21-22-0178-00,0,good,good_weld_15_10-21-22_Plane_Plate,331,36.58,5,[],[]
10-21-22-0179-00,0,good,good_weld_15_10-21-22_Plane_Plate,331,36.61,5,[],[]
10-21-22-0180-00,0,good,good_weld_15_10-21-22_Plane_Plate,332,36.66,5,[],[]
11-18-22-0183-00,0,good,good_weld_16_11-18-22_plane_plate,318,35.31,5,[],[]
11-18-22-0184-00,0,good,good_weld_16_11-18-22_plane_plate,318,35.49,5,[],[]
11-18-22-0189-00,0,good,good_weld_16_11-18-22_plane_plate,319,35.48,5,[],[]
11-18-22-0190-00,0,good,good_weld_16_11-18-22_plane_plate,320,35.46,5,[],[]
11-18-22-0192-00,0,good,good_weld_16_11-18-22_plane_plate,318,35.36,5,[],[]
11-18-22-0195-00,0,good,good_weld_16_11-18-22_plane_plate,319,35.41,5,[],[]
11-18-22-0196-00,0,good,good_weld_16_11-18-22_plane_plate,320,35.38,5,[],[]
11-18-22-0197-00,0,good,good_weld_16_11-18-22_plane_plate,320,35.32,5,[],[]
11-18-22-0199-00,0,good,good_weld_16_11-18-22_plane_plate,318,35.41,5,[],[]
11-18-22-0200-00,0,good,good_weld_16_11-18-22_plane_plate,319,35.34,5,[],[]
11-18-22-0201-00,0,good,good_weld_17_11-18-22_plane_plate,320,35.42,5,[],[]
11-18-22-0202-00,0,good,good_weld_17_11-18-22_plane_plate,319,35.48,5,[],[]
11-18-22-0203-00,0,good,good_weld_17_11-18-22_plane_plate,321,35.37,5,[],[]
11-18-22-0204-00,0,good,good_weld_17_11-18-22_plane_plate,318,35.28,5,[],[]
11-18-22-0205-00,0,good,good_weld_17_11-18-22_plane_plate,319,35.25,5,[],[]
11-18-22-0206-00,0,good,good_weld_17_11-18-22_plane_plate,319,35.44,5,[],[]
11-18-22-0207-00,0,good,good_weld_17_11-18-22_plane_plate,321,35.56,5,[],[]
11-18-22-0209-00,0,good,good_weld_17_11-18-22_plane_plate,320,35.43,5,[],[]
11-18-22-0210-00,0,good,good_weld_17_11-18-22_plane_plate,321,35.57,5,[],[]
11-18-22-0211-00,0,good,good_weld_17_11-18-22_plane_plate,322,35.47,5,[],[]
11-18-22-0212-00,0,good,good_weld_17_11-18-22_plane_plate,322,35.56,5,[],[]
11-18-22-0213-00,0,good,good_weld_17_11-18-22_plane_plate,321,35.58,5,[],[]
11-18-22-0214-00,0,good,good_weld_17_11-18-22_plane_plate,320,35.47,5,[],[]
11-18-22-0218-00,0,good,good_weld_17_11-18-22_plane_plate,317,35.38,5,[],[]
11-18-22-0219-00,0,good,good_weld_17_11-18-22_plane_plate,318,35.45,5,[],[]
11-18-22-0220-00,0,good,good_weld_17_11-18-22_plane_plate,320,35.59,5,[],[]
11-18-22-0221-00,0,good,good_weld_18_11-18-22_plane_plate,321,35.62,5,[],[]
11-18-22-0223-00,0,good,good_weld_18_11-18-22_plane_plate,317,35.4,5,[],[]
11-18-22-0224-00,0,good,good_weld_18_11-18-22_plane_plate,319,35.52,5,[],[]
11-20-22-0227-00,0,good,good_weld_18_11-18-22_plane_plate,320,35.3,5,[],[]
11-20-22-0228-00,0,good,good_weld_18_11-18-22_plane_plate,320,35.44,5,[],[]
11-20-22-0229-00,0,good,good_weld_18_11-18-22_plane_plate,319,35.31,5,[],[]
11-20-22-0230-00,0,good,good_weld_18_11-18-22_plane_plate,319,35.25,5,[],[]
11-20-22-0231-00,0,good,good_weld_18_11-18-22_plane_plate,317,35.24,5,[],[]
11-20-22-0232-00,0,good,good_weld_18_11-18-22_plane_plate,319,35.39,5,[],[]
11-20-22-0233-00,0,good,good_weld_18_11-18-22_plane_plate,321,35.47,5,[],[]
11-20-22-0234-00,0,good,good_weld_18_11-18-22_plane_plate,318,35.32,5,[],[]
11-20-22-0235-00,0,good,good_weld_18_11-18-22_plane_plate,320,35.36,5,[],[]
11-20-22-0236-00,0,good,good_weld_18_11-18-22_plane_plate,318,35.34,5,[],[]
11-20-22-0237-00,0,good,good_weld_18_11-18-22_plane_plate,318,35.29,5,[],[]
11-20-22-0238-00,0,good,good_weld_18_11-18-22_plane_plate,319,35.36,5,[],[]
11-20-22-0239-00,0,good,good_weld_18_11-18-22_plane_plate,321,35.43,5,[],[]
11-20-22-0240-00,0,good,good_weld_18_11-18-22_plane_plate,319,35.34,5,[],[]
11-20-22-0241-00,0,good,good_weld_19_11-20-22_plane_plate,321,35.52,5,[],[]
11-20-22-0242-00,0,good,good_weld_19_11-20-22_plane_plate,319,35.39,5,[],[]
11-20-22-0243-00,0,good,good_weld_19_11-20-22_plane_plate,318,35.36,5,[],[]
11-20-22-0244-00,0,good,good_weld_19_11-20-22_plane_plate,319,35.33,5,[],[]
11-20-22-0245-00,0,good,good_weld_19_11-20-22_plane_plate,317,35.23,5,[],[]
11-20-22-0246-00,0,good,good_weld_19_11-20-22_plane_plate,315,35.39,5,[],[]
11-20-22-0247-00,0,good,good_weld_19_11-20-22_plane_plate,318,35.29,5,[],[]
11-20-22-0248-00,0,good,good_weld_19_11-20-22_plane_plate,319,35.37,5,[],[]
11-20-22-0249-00,0,good,good_weld_19_11-20-22_plane_plate,316,35.34,5,[],[]
11-20-22-0250-00,0,good,good_weld_19_11-20-22_plane_plate,321,35.77,5,[],[]
11-20-22-0251-00,0,good,good_weld_19_11-20-22_plane_plate,318,35.31,5,[],[]
11-20-22-0252-00,0,good,good_weld_19_11-20-22_plane_plate,319,35.26,5,[],[]
11-20-22-0253-00,0,good,good_weld_19_11-20-22_plane_plate,318,35.23,5,[],[]
11-20-22-0254-00,0,good,good_weld_19_11-20-22_plane_plate,317,35.24,5,[],[]
11-20-22-0255-00,0,good,good_weld_19_11-20-22_plane_plate,317,35.25,5,[],[]
11-20-22-0256-00,0,good,good_weld_19_11-20-22_plane_plate,317,35.24,5,[],[]
11-20-22-0257-00,0,good,good_weld_19_11-20-22_plane_plate,319,35.29,5,[],[]
11-20-22-0258-00,0,good,good_weld_19_11-20-22_plane_plate,317,35.28,5,[],[]
11-20-22-0259-00,0,good,good_weld_19_11-20-22_plane_plate,319,35.44,5,[],[]
11-20-22-0260-00,0,good,good_weld_19_11-20-22_plane_plate,319,35.37,5,[],[]
02-09-23-0006-00,0,good,good_weld_1_02-09-23_Fe410,378,42.2,5,[],[]
02-09-23-0007-00,0,good,good_weld_1_02-09-23_Fe410,385,42.57,5,[],[]
02-09-23-0008-00,0,good,good_weld_1_02-09-23_Fe410,379,42.26,5,[],[]
02-09-23-0009-00,0,good,good_weld_1_02-09-23_Fe410,383,42.33,5,[],[]
02-09-23-0010-00,0,good,good_weld_1_02-09-23_Fe410,381,42.45,5,[],[]
02-09-23-0011-00,0,good,good_weld_1_02-09-23_Fe410,383,42.45,5,[],[]
02-09-23-0012-00,0,good,good_weld_1_02-09-23_Fe410,383,42.59,5,[],[]
03-19-23-0001-00,0,good,good_weld_1_03-19-23_BSK46,300,33.27,5,[],[]
03-19-23-0002-00,0,good,good_weld_1_03-19-23_BSK46,303,33.4,5,[],[]
03-19-23-0003-00,0,good,good_weld_1_03-19-23_BSK46,301,33.3,5,[],[]
03-20-23-0005-00,0,good,good_weld_1_03-19-23_BSK46,298,33.15,5,[],[]
03-20-23-0006-00,0,good,good_weld_1_03-19-23_BSK46,303,33.47,5,[],[]
03-20-23-0007-00,0,good,good_weld_1_03-19-23_BSK46,302,33.43,5,[],[]
03-20-23-0008-00,0,good,good_weld_1_03-19-23_BSK46,302,33.4,5,[],[]
03-20-23-0009-00,0,good,good_weld_1_03-19-23_BSK46,302,33.4,5,[],[]
03-20-23-0010-00,0,good,good_weld_1_03-19-23_BSK46,301,33.38,5,[],[]
03-20-23-0012-00,0,good,good_weld_1_03-19-23_BSK46,302,33.45,5,[],[]
03-20-23-0013-00,0,good,good_weld_1_03-19-23_BSK46,302,33.44,5,[],[]
03-20-23-0014-00,0,good,good_weld_1_03-19-23_BSK46,301,33.42,5,[],[]
03-20-23-0015-00,0,good,good_weld_1_03-19-23_BSK46,302,33.43,5,[],[]
03-20-23-0016-00,0,good,good_weld_1_03-19-23_BSK46,301,33.54,5,[],[]
03-20-23-0018-00,0,good,good_weld_1_03-19-23_BSK46,301,33.48,5,[],[]
03-20-23-0019-00,0,good,good_weld_1_03-19-23_BSK46,302,33.53,5,[],[]
03-20-23-0020-00,0,good,good_weld_1_03-19-23_BSK46,301,33.41,5,[],[]
11-20-22-0261-00,0,good,good_weld_20_11-20-22_plane_plate,319,35.34,5,[],[]
11-20-22-0262-00,0,good,good_weld_20_11-20-22_plane_plate,318,35.32,5,[],[]
11-20-22-0263-00,0,good,good_weld_20_11-20-22_plane_plate,318,35.38,5,[],[]
11-20-22-0264-00,0,good,good_weld_20_11-20-22_plane_plate,319,35.26,5,[],[]
11-20-22-0265-00,0,good,good_weld_20_11-20-22_plane_plate,319,35.36,5,[],[]
11-20-22-0266-00,0,good,good_weld_20_11-20-22_plane_plate,319,35.34,5,[],[]
11-20-22-0267-00,0,good,good_weld_20_11-20-22_plane_plate,318,35.24,5,[],[]
11-20-22-0268-00,0,good,good_weld_20_11-20-22_plane_plate,315,35.18,5,[],[]
11-20-22-0269-00,0,good,good_weld_20_11-20-22_plane_plate,318,35.34,5,[],[]
11-20-22-0270-00,0,good,good_weld_20_11-20-22_plane_plate,317,35.37,5,[],[]
11-20-22-0271-00,0,good,good_weld_20_11-20-22_plane_plate,320,35.38,5,[],[]
11-20-22-0272-00,0,good,good_weld_20_11-20-22_plane_plate,320,35.38,5,[],[]
11-20-22-0273-00,0,good,good_weld_20_11-20-22_plane_plate,320,35.35,5,[],[]
11-20-22-0274-00,0,good,good_weld_20_11-20-22_plane_plate,319,35.3,5,[],[]
11-20-22-0275-00,0,good,good_weld_20_11-20-22_plane_plate,319,35.35,5,[],[]
11-20-22-0276-00,0,good,good_weld_20_11-20-22_plane_plate,318,35.42,5,[],[]
11-20-22-0277-00,0,good,good_weld_20_11-20-22_plane_plate,318,35.28,5,[],[]
11-20-22-0278-00,0,good,good_weld_20_11-20-22_plane_plate,318,35.25,5,[],[]
11-20-22-0279-00,0,good,good_weld_20_11-20-22_plane_plate,317,35.25,5,[],[]
11-20-22-0280-00,0,good,good_weld_20_11-20-22_plane_plate,321,35.39,5,[],[]
12-13-22-0281-00,0,good,good_weld_21_12-13-22_butt,329,36.7,5,[],[]
12-13-22-0282-00,0,good,good_weld_21_12-13-22_butt,333,36.95,5,[],[]
12-13-22-0283-00,0,good,good_weld_21_12-13-22_butt,334,36.94,5,[],[]
12-13-22-0284-00,0,good,good_weld_21_12-13-22_butt,333,37.0,5,[],[]
12-13-22-0285-00,0,good,good_weld_21_12-13-22_butt,333,36.9,5,[],[]
12-13-22-0286-00,0,good,good_weld_21_12-13-22_butt,333,36.93,5,[],[]
12-13-22-0287-00,0,good,good_weld_21_12-13-22_butt,334,36.92,5,[],[]
12-13-22-0288-00,0,good,good_weld_21_12-13-22_butt,332,36.94,5,[],[]
12-13-22-0289-00,0,good,good_weld_21_12-13-22_butt,333,36.85,5,[],[]
12-13-22-0290-00,0,good,good_weld_21_12-13-22_butt,334,37.03,5,[],[]
12-13-22-0291-00,0,good,good_weld_21_12-13-22_butt,335,36.92,5,[],[]
12-13-22-0292-00,0,good,good_weld_21_12-13-22_butt,333,37.0,5,[],[]
12-13-22-0293-00,0,good,good_weld_21_12-13-22_butt,335,36.97,5,[],[]
12-13-22-0294-00,0,good,good_weld_21_12-13-22_butt,333,36.89,5,[],[]
12-13-22-0295-00,0,good,good_weld_21_12-13-22_butt,333,36.86,5,[],[]
12-13-22-0296-00,0,good,good_weld_21_12-13-22_butt,331,36.96,5,[],[]
12-13-22-0297-00,0,good,good_weld_21_12-13-22_butt,332,36.95,5,[],[]
12-13-22-0298-00,0,good,good_weld_21_12-13-22_butt,334,37.09,5,[],[]
12-13-22-0299-00,0,good,good_weld_21_12-13-22_butt,332,36.83,5,[],[]
12-13-22-0300-00,0,good,good_weld_21_12-13-22_butt,332,36.83,5,[],[]
12-13-22-0301-00,0,good,good_weld_22_12-13-22_butt,333,36.89,5,[],[]
12-13-22-0302-00,0,good,good_weld_22_12-13-22_butt,333,36.82,5,[],[]
12-13-22-0303-00,0,good,good_weld_22_12-13-22_butt,333,36.84,5,[],[]
12-13-22-0304-00,0,good,good_weld_22_12-13-22_butt,333,36.93,5,[],[]
12-13-22-0305-00,0,good,good_weld_22_12-13-22_butt,334,36.92,5,[],[]
12-13-22-0306-00,0,good,good_weld_22_12-13-22_butt,336,36.98,5,[],[]
12-13-22-0307-00,0,good,good_weld_22_12-13-22_butt,334,37.0,5,[],[]
12-13-22-0308-00,0,good,good_weld_22_12-13-22_butt,332,36.84,5,[],[]
12-13-22-0309-00,0,good,good_weld_22_12-13-22_butt,333,36.87,5,[],[]
12-13-22-0310-00,0,good,good_weld_22_12-13-22_butt,336,36.97,5,[],[]
12-13-22-0311-00,0,good,good_weld_22_12-13-22_butt,334,37.03,5,[],[]
12-13-22-0314-00,0,good,good_weld_22_12-13-22_butt,334,36.93,5,[],[]
